ID	Gender	Age	Time	X_position	Y_position	POINT	SubChain	SubChain_Start_end_tag	SubChain_ID	iter	WGS_distance	Time_Consume	Speed	t_p_i	residual	from	to	osmid	e_i	oneway	length	highway	highway_l	SpeedKM	Overspeeding
C0000039	男	17	2020-05-01 22:52:45	112.97024251	28.20499673	SRID=4326;POINT(112.97024250883433 28.204996725519635)	1	0	C0000039.1	1.0	53.67802893653342	10.0	5.367802893653342	15	2.7871748038424777	1957100981	1957100868	[389262298, 185140693]	6740	1	160.09	['secondary']	3.0	19.324090417152032	0
C0000039	男	17	2020-05-01 22:52:55	112.97030579999999	28.20452197	SRID=4326;POINT(112.97030579985325 28.20452196587473)	1	0	C0000039.1	1.0	52.979838305574205	10.0	5.2979838305574205	16	13.992442233051474	1957100981	1957100868	[389262298, 185140693]	6740	1	160.09	['secondary']	3.0	19.072741790006713	0
C0000039	男	17	2020-05-01 22:53:05	112.97046684	28.20436795	SRID=4326;POINT(112.97046683661178 28.204367954733232)	1	0	C0000039.1	2.0	23.266079057670197	10.0	2.32660790576702	17	13.449659970448268	1957101161	1957100868	185140689	6741	1	57.099	['secondary']	3.0	8.375788460761273	0
C0000039	男	17	2020-05-01 22:53:15	112.97083701	28.20404036	SRID=4326;POINT(112.970837013606 28.20404035660041)	1	0	C0000039.1	3.0	51.36860501700386	10.0	5.1368605017003865	18	16.84208642741807	1957171976	1955356121	307999273	6335	0	68.443	['tertiary']	2.0	18.49269780612139	0
C0000039	男	17	2020-05-01 22:53:25	112.97118667	28.20376778	SRID=4326;POINT(112.97118667407571 28.203767781741924)	1	0	C0000039.1	3.0	45.72697346007286	10.0	4.572697346007287	19	9.143442288306506	1957171976	1955356121	307999273	6335	0	68.443	['tertiary']	2.0	16.46171044562623	0
C0000039	男	17	2020-05-01 22:53:35	112.97122957	28.20374182	SRID=4326;POINT(112.97122956803351 28.203741816295395)	1	0	C0000039.1	3.0	5.100570022837606	10.0	0.5100570022837605	20	10.180444746147057	1957171976	1955356121	307999273	6335	0	68.443	['tertiary']	2.0	1.8362052082215379	0
C0000039	男	17	2020-05-01 22:53:45	112.97124777	28.20375186	SRID=4326;POINT(112.97124776546318 28.203751864053142)	1	0	C0000039.1	3.0	2.1049214202214133	10.0	0.2104921420221412	21	8.967648201641586	1957171976	1955356121	307999273	6335	0	68.443	['tertiary']	2.0	0.7577717112797083	0
C0000039	男	17	2020-05-01 22:53:48	112.97125028	28.20375522	SRID=4326;POINT(112.97125027510792 28.203755223750218)	1	2	C0000039.1	3.0	0.44651901688451	3.0	0.1488396722948367	22	8.607554583040598	1957171976	1955356121	307999273	6335	0	68.443	['tertiary']	2.0	0.5358228202614121	0
C0000049	男	29	2020-05-01 17:01:15	112.99079015	28.19486717	SRID=4326;POINT(112.99079015400092 28.194867173183166)	3	1	C0000049.3	1.0	0.0	0.0	0.0	0	4.7585275261690265	3946941454	3946941362	391480353	17130	0	146.887	['residential']	1.0	0.0	0
C0000049	男	29	2020-05-01 17:01:25	112.99077630000001	28.19529204	SRID=4326;POINT(112.99077630268012 28.195292044143745)	3	0	C0000049.3	1.0	47.10483221350765	10.0	4.710483221350764	1	12.730629774054579	3946941454	3946941362	391480353	17130	0	146.887	['residential']	1.0	16.95773959686275	0
